Title,Operating Condition,,,,Anode Catalyst,,,,,,,,Cathode Catalyst,,,,Coating Method,,,,,,,Polymers,,,Output
,Operating Temperature (?),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,Pure_0/Supported_1,C wt. %,Particle Size,Surface Area,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Pt wt. %,Particle Size,Surface Area,Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Type,Membrane Thickness (?m),EW,Water Uptake,Expansion,Ionic Conductivity,Polymer Type,I/C in Anode,I/C in Cathode,Current at 1.8 V
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,125,1100,,,,,0.22,1,1.49337
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,125,1100,,,,,0.22,1,1.33455
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,115,360,,,,,0.1,0.28,3.49714
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,115,360,,,,,0.1,0.28,1.54244
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,1.78286
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,1.76004
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,2.54952
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,1.3329
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,2.9597
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,2.69118
Development and performance evaluation of Proton Exchange Membrane (PEM) based hydrogen generator for portable applications,80,1.5,4.166666667,100,85.52915767,0,14.47084233,0,0,,,1.026349892,100,,,0.4,0,,175,1100,,,,,0.299736894,0.113758053,0.53847
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,,,1,46,,,0.184,0,,50,1100,,,,,0.374007744,0.624647855,0.80336
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,1,60,,,0.4,46,,,0.184,0,,50,1100,,,,,0.281176263,0.546633737,1.06368
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,1,60,,,0.4,46,,,0.184,0,,50,1100,,,,,0.285472473,0.554027878,1.44685
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,,,1,46,,,0.184,0,,50,1100,,,,,0.264651442,0.491437084,1.34086
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,12.7397,1,0,,,0.4,46,,,0.184,0,,50,1100,,,,,0.25658492,0.533679577,1.50273
Calculating the Electrochemically Active Surface Area of Iridium Oxide in Operating Proton Exchange Membrane Electrolyzers,80,1,107.2756895,25,85.52915767,0,14.47084233,0,0,,,0.348205152,100,,,0.55759543,0,,184.4523983,1100,,,,,1,1,0.88186245
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,4.10261
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,4.40567
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",90,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,5.23032
